대여소 그룹,팀명,대여소 명,대여 건수
강동구,천호1팀,1014. 강동구평생학습관앞,3
성동구,테스트,9980. 에이텍,3
동작구,영남2팀,2063. 대방역 4번출구,4
서초구,이수1팀,2286. 탑성마을입구,7
서초구,이수1팀,2288. 안골마을입구,7
서초구,이수1팀,4314. 탑성마을 버스정거장 옆,9
서초구,이수1팀,2287. 능안마을입구,10
강남구,학여울1팀,2304. 대현그린타워,11
서초구,이수1팀,4322.서울추모공원 입구,16
강남구,학여울1팀,2391. 구룡터널 입구(개포1단지아파트),16
노원구,도봉2팀,1680. 삼육대 제3과학관,17
송파구,학여울2팀,2612. 문정·가락 대여소 앞,19
구로구,천왕1팀,3917. 성공회대학교,19
서초구,이수1팀,2201. 본마을 정류소 앞,20
강동구,천호1팀,3677. 강동구음식물재활용센터,20
성동구,중랑2팀,3527. 왕십리 자이아파트,21
강남구,학여울2팀,2343. 세곡사거리 대왕파출소 앞,22
서초구,이수1팀,2536.서초종합체육관 입구,22
금천구,천왕3팀,3971. 순흥안씨묘 건너편,24
금천구,천왕3팀,3970. 시흥4동주민센터 앞,25
영등포구,영남3팀,253. 신풍역 5번출구 인근,25
서초구,이수1팀,2541.옛골 입구,26
중랑구,중랑3팀,4838.동원사거리 행복오피스텔 앞,28
광진구,중랑1팀,3878. 장로회신학대학교 주기철 기념관,29
서초구,이수1팀,2207. 내곡파출소 뒤 정자,30
성동구,중랑2팀,3538. 서울숲 IT캐슬,30
종로구,세종로1팀,462. 신영동삼거리(북악터널방향),31
서초구,이수1팀,2248. 서초리슈빌S 글로벌 앞,35
은평구,상암3팀,991.흥국사 정류장,36
서초구,이수2팀,2289. 남태령역 2번출구,36
서초구,이수1팀,4310. 염곡동(염통골) 입구,38
관악구,영남2팀,3306.서울신우초등학교,40
송파구,천호2팀,2609. 보성중고등학교 후문 앞,40
노원구,도봉2팀,4044. 공릉산 백세문 입구,40
종로구,세종로1팀,4702. 평창동 주민센터,41
관악구,이수2팀,2199.신봉천주유소 A,41
구로구,천왕1팀,2816.항동지구 8단지 803동옆(주차장입구),42
강남구,학여울1팀,3648. 구룡역 4번 출구,42
성동구,중랑2팀,4363. 신금호역 2번출구 앞,42
종로구,세종로1팀,447. 신영동삼거리,43
