대여소 그룹,팀명,대여소 명,대여 건수
서초구,이수1팀,4314. 탑성마을 버스정거장 옆,2
서초구,이수1팀,4322.서울추모공원 입구,2
동작구,영남2팀,2063. 대방역 4번출구,3
서초구,이수1팀,2288. 안골마을입구,6
성동구,테스트,9980. 에이텍,7
서대문구,상암2팀,4265. 안산초등학교 앞,7
강남구,학여울1팀,2391. 구룡터널 입구(개포1단지아파트),11
중랑구,중랑3팀,4840. 서울시 북부병원 앞,12
노원구,도봉2팀,1680. 삼육대 제3과학관,16
서초구,이수1팀,2536.서초종합체육관 입구,18
서초구,이수1팀,2275. 염곡치안센터 건너편,19
강동구,천호1팀,3677. 강동구음식물재활용센터,21
금천구,천왕3팀,3971. 순흥안씨묘 건너편,23
강남구,이수1팀,2393. 구룡사 앞 교차로 (보도육교),24
송파구,학여울2팀,2612. 문정·가락 대여소 앞,24
서초구,이수1팀,2287. 능안마을입구,24
서초구,이수1팀,2286. 탑성마을입구,25
성동구,중랑2팀,3527. 왕십리 자이아파트,27
은평구,상암3팀,991.흥국사 정류장,27
광진구,중랑1팀,3878. 장로회신학대학교 주기철 기념관,28
강남구,학여울2팀,2343. 세곡사거리 대왕파출소 앞,31
서초구,이수1팀,2201. 본마을 정류소 앞,32
중랑구,중랑3팀,4830. 신내 우디안 111동 앞,33
송파구,천호2팀,4853. 송파 안전체험교육관,34
금천구,천왕3팀,3970. 시흥4동주민센터 앞,35
서초구,이수1팀,2541.옛골 입구,35
은평구,상암3팀,938. 금암 문화공원,37
성동구,중랑2팀,564. 금호역 3번출구,37
서초구,이수1팀,4310. 염곡동(염통골) 입구,38
서초구,이수1팀,4323. 내곡도서관,39
양천구,개화4팀,4523. 구립양천어르신요양센터,39
노원구,도봉2팀,1675. 월계문화체육센터,39
강남구,학여울1팀,3648. 구룡역 4번 출구,43
은평구,상암3팀,937. 상림마을 롯데캐슬2단지 옆,43
종로구,세종로1팀,447. 신영동삼거리,44
종로구,세종로1팀,462. 신영동삼거리(북악터널방향),45
관악구,영남2팀,3306.서울신우초등학교,46
종로구,세종로1팀,4702. 평창동 주민센터,46
중랑구,중랑3팀,4839. 혜원사거리 열정분식소 앞,48
노원구,도봉2팀,4044. 공릉산 백세문 입구,48
구로구,천왕1팀,2816.항동지구 8단지 803동옆(주차장입구),48
성동구,중랑2팀,3538. 서울숲 IT캐슬,48
강남구,학여울1팀,2395. 개포1단지아파트 입구 (보도육교),49
성동구,중랑2팀,4363. 신금호역 2번출구 앞,49
송파구,천호2팀,4879. 마천청소년센터,50
서초구,이수3팀,2527.반포중학교 앞(세화여고 맞은편),51
종로구,세종로1팀,4709. 천지인 오피스텔 앞,51
성북구,훈련원2팀,4420. 성북구 한예종 캠퍼스 별관,51
서초구,이수2팀,2289. 남태령역 2번출구,52
강동구,천호1팀,3652. 한영외국어고등학교,53
성북구,훈련원2팀,4419. 성북구 한예종 캠퍼스 본관,53
서초구,이수2팀,2506. LG유플러스 (방배사옥),53
중랑구,중랑3팀,1424. 양원역 2번출구,53
강남구,학여울2팀,3610. 윗반마을 입구,54
성동구,중랑2팀,3532. 왕십리KCC스위첸아파트,54
성북구,훈련원2팀,4415. 미아초교버스승강장,54
구로구,천왕1팀,2813.항동지구 3단지 302동 앞,54
영등포구,영남3팀,4582. 국회도서관,55
강남구,학여울2팀,3624. 대모산입구역 7번 출구 앞,55
서대문구,상암2팀,4264. 홍남교 버스정류장,56
영등포구,영남3팀,5852. 대림동현대2차 201동 앞,56
용산구,세종로3팀,859.남산공원 야외식물원 앞,56
강남구,학여울2팀,2425.세곡동 사거리(대왕초등학교 정류장),56
성동구,중랑2팀,3561.행당동 삼부APT후문,56
구로구,천왕1팀,1951. 천왕이펜하우스 4단지 후문,57
도봉구,도봉3팀,1730. 도봉산역 교차로 앞,58
송파구,천호2팀,2609. 보성중고등학교 후문 앞,58
강동구,천호1팀,1039. 고덕초등학교,58
용산구,세종로3팀,854.HID 유족동지회 앞,58
성북구,훈련원2팀,1392.돈암삼성풍림아파트,58
동작구,이수2팀,2079.중앙대학교 중앙광장,59
관악구,이수2팀,2199.신봉천주유소 A,59
관악구,이수2팀,3802. 관악구민체육센터,60
서초구,이수1팀,2207. 내곡파출소 뒤 정자,60
용산구,세종로3팀,4612. 한남 준 J.FSS 앞,60
강동구,천호1팀,3672. 고덕중학교 후문,61
강동구,천호1팀,1089.고덕 래미안힐스테이트(201동),61
서초구,이수1팀,2257. 청계산 입구 삼거리,62
노원구,도봉2팀,1679. 삼육대 도서관,62
서초구,이수3팀,2526.반포경남쇼핑 앞,62
용산구,세종로3팀,865.하얏트호텔 앞,62
송파구,천호2팀,4896. 위례포레샤인15단지,63
중랑구,중랑3팀,1467.sk신내 주유소앞(용마산로),63
은평구,상암3팀,968. 은평뉴타운 상림마을 13단지,63
구로구,천왕1팀,1969. 궁동생태공원,63
서초구,이수3팀,4305. 서일스포츠센터,63
은평구,상암3팀,924. 메뚜기다리,63
강동구,천호1팀,1082.중앙보훈병원역3번출구,63
구로구,천왕1팀,2806.항동지구 4단지 입구,63
구로구,천왕1팀,2805.구로자원순환센터,64
구로구,천왕1팀,2814.항동지구 10단지 1001동 앞,64
구로구,천왕1팀,2810.항동지구 3단지 311동 앞,64
서초구,이수3팀,4324. 세화고등학교,65
성북구,훈련원2팀,1379.길음뉴타운푸르지오아파트 3단지,65
금천구,천왕3팀,1861.IBK기업은행 석수역 지점 앞,65
광진구,중랑1팀,3563.구의7단지현대아파트,65
관악구,영남2팀,2141. 미림여고입구 교차로,66
마포구,상암1팀,3003.래미안신공덕3차아파트,66
서초구,이수3팀,2532.국립국악원 앞,66
성동구,중랑2팀,523. 옥수동성당 옆,67
양천구,개화2팀,4519. 양원보도육교,68
송파구,천호2팀,4888. 둔촌오륜역 2번출구,69
중랑구,중랑3팀,1445. 용마지구대,69
성북구,훈련원2팀,1352. e 편한세상 보문아파트 내,70
강북구,도봉4팀,1572. 우이동 먹거리마을,70
