대여소 그룹,팀명,대여소 명,대여 건수
강남구,학여울1팀,2391. 구룡터널 입구(개포1단지아파트),4
강서구,개화3팀,5082. 가양역 7번출구,5
종로구,세종로1팀,4719. 종로문화원 건너편,24
성동구,중랑2팀,3527. 왕십리 자이아파트,25
서초구,이수1팀,4314. 탑성마을 버스정거장 옆,29
성동구,중랑2팀,3538. 서울숲 IT캐슬,38
구로구,천왕2팀,3923. 구로공구상가 앞,40
서초구,이수1팀,2288. 안골마을입구,41
서초구,이수1팀,2286. 탑성마을입구,43
서초구,이수1팀,4322.서울추모공원 입구,49
서초구,이수1팀,2536.서초종합체육관 입구,62
마포구,상암1팀,4240. 아현문화건강센터,62
구로구,천왕1팀,2813.항동지구 3단지 302동 앞,63
용산구,세종로3팀,865.하얏트호텔 앞,67
용산구,세종로3팀,859.남산공원 야외식물원 앞,68
서초구,이수1팀,2287. 능안마을입구,68
성북구,훈련원2팀,4417. 성북청소년문화의집,74
송파구,학여울2팀,2612. 문정·가락 대여소 앞,78
서초구,이수2팀,2506. LG유플러스 (방배사옥),81
동작구,영남2팀,2096.서울특별시 동작관악교육지원청,83
강남구,이수1팀,2393. 구룡사 앞 교차로 (보도육교),85
금천구,천왕3팀,3971. 순흥안씨묘 건너편,87
서초구,이수1팀,2275. 염곡치안센터 건너편,87
마포구,상암1팀,3003.래미안신공덕3차아파트,88
성북구,훈련원2팀,1352. e 편한세상 보문아파트 내,98
서초구,이수1팀,2201. 본마을 정류소 앞,99
구로구,천왕1팀,2816.항동지구 8단지 803동옆(주차장입구),100
광진구,중랑1팀,3878. 장로회신학대학교 주기철 기념관,101
서초구,이수2팀,2289. 남태령역 2번출구,104
강남구,학여울2팀,2343. 세곡사거리 대왕파출소 앞,106
강동구,천호1팀,3677. 강동구음식물재활용센터,109
노원구,도봉2팀,1680. 삼육대 제3과학관,110
중구,세종로 4팀,484.도동삼거리,118
강동구,천호1팀,3699. 상일파출소 옆,123
서초구,이수3팀,4324. 세화고등학교,126
성동구,중랑2팀,4363. 신금호역 2번출구 앞,128
종로구,세종로1팀,4709. 천지인 오피스텔 앞,128
종로구,세종로1팀,462. 신영동삼거리(북악터널방향),129
관악구,영남2팀,3306.서울신우초등학교,130
종로구,훈련원1팀,3418.창신역2번 출구,130
종로구,훈련원1팀,3404.서울특별시 중부교육지원청,136
